Issue Type,Priority,Key,Summary,Status,Assignee,Created,Description,Updated,Project,Sprint,Epic Link,Story Points
Bug - Client Reported,Functionality Incomplete,ALDOT-1344,"Workflow Authorization - pop up ""authorization"" message is inconsistent and confusing",Deliver to Client,Testing Team,8/4/14 16:41,"Intermittently throughout the authorization process users will get a message stating thank you for completing authorization on an application. Apparently this is role based if a user does not have authorization to go to the next step and possibly some other rules that are coded and cause this message to show. The message is misleading in that users think the entire application is approved...not just their part in the section of the workflow. According to Caleb this message is triggered in at least 4 instances based on the code he reviewed. When signed on with admin privileges the message does not show since users can do the next step. 

Either this message needs to be more specific on what part of the authorization is completed or removed entirely to prevent users from thinking that the system has malfunctioned or that the permit has final approval.",9/2/14 11:11,ALDOT,,,
Change Request - Improvement,Look and Feel,ALDOT-1346,Authorization Workflow - red asterisk for comments appears throughout workflow but only applies to a few steps,Deliver to Client,Testing Team,8/5/14 9:07,"In the Authorization Workflow, the red asterisk appears next the words ""comments"" however users are only prompted on a few of the steps that comments are required. This interface is confusing and the red asterisk needs to only appear when comments are required in order to progress the workflow.",9/2/14 10:33,ALDOT,,,
Bug - Internal Reported,System Error,ALDOT-1348,Application Details Meeting changes problem,Deliver to Client,Testing Team,8/26/14 9:03,"On Application Details page, If you add or edit a meeting it needs to refresh the page to display the new meeting values. 
Currently, it behaves inconsistently. If adding it will display then disappear. if you edit the change doesn't reflect. The fix for both seems to be a page refresh.",9/3/14 15:26,ALDOT,,,
Bug - Internal Reported,Look and Feel,ALDOT-1350,Transfer bottom margin to border inconsistent,Deliver to Client,Testing Team,8/26/14 12:01,"When you enter the transfer window the bottom border is close to the bottom correctly. However, if you click individual then it changes, and it remains changed if you try to go back to business.",9/2/14 9:37,ALDOT,,,
Bug - Internal Reported,System Error,ALDOT-1351,Application Status: Probation/Suspension not functioning,Deliver to Client,Testing Team,8/26/14 12:15,"On View Application > Applicant Status: 
If you attempt to add either a probation or a suspension when you click apply nothing happens.",9/3/14 13:09,ALDOT,,,
Bug - Internal Reported,System Error,ALDOT-1352,Disable unavailable Admin>Search tabs,Deliver to Client,Testing Team,8/26/14 15:41,"In Admin>Configuration>Searching tabs that are not yet available should be disabled. 
For example: if there is no selection on the DB Connection Tab then Simple Searches, SS Advanced and Display Fields should be disabled until available.",9/2/14 9:44,ALDOT,,,
Bug - Internal Reported,Functionality Incomplete,ALDOT-1362,Permit History,Deliver to Client,Testing Team,8/27/14 10:24,"Click on Permit History link, No information is filled out on the page. 

Logged in as ""Jerry Leckness""",9/3/14 10:34,ALDOT,,,
Bug - Internal Reported,Look and Feel,ALDOT-1364,Search Page - Numbers are sorted Alphabetically in dropdowns,Deliver to Client,Testing Team,8/27/14 10:28,"Check the ""View All"" box next to a numerical field. When the drop down is available, notice that it is sorted alphabetically instead of numerically. IE (2 comes after 19). 

",9/2/14 9:36,ALDOT,,,
Bug - Internal Reported,System Error,ALDOT-1365,Wrong message box for New user Notification errors,Deliver to Client,Testing Team,8/28/14 9:07,I used a wrong type of message in the catch of the sendEmailNotification function for sending emails to the approval person to notify of new users. Need to change the way the catch handles an error message.,9/9/14 8:00,ALDOT,,,
Bug - Internal Reported,System Error,ALDOT-1366,Meetings Date Picker Error,Deliver to Client,Testing Team,8/29/14 15:17,"On Permitting>View Application if you add a meeting, then add another without modifying anything in the datepicker an error occurs. 

notable components: 
DateControl.ascs.vb 
CalendarControl.js",9/8/14 16:09,ALDOT,,,
Bug - Internal Reported,System Error,ALDOT-1367,Error on Application Details load,Deliver to Client,Lee Jones,9/2/14 9:19,"Sometimes an error pops up when loading the application details page. I am not sure exactly where it is being triggered (it seems most common when there are multiple meetings scheduled, but that could be unrelated). 

Screenshot attached.",9/4/14 13:19,ALDOT,,,
Bug - Internal Reported,Functionality Incomplete,ALDOT-1368,"Create Permit - Location Screen - Cannot select ""next""",Deliver to Client,Testing Team,9/2/14 10:13,"Nothing happens when I click ""next"" on the Location screen during Create Permit. This means we cannot create permits in the system since we get stuck halfway through the work flow.",9/3/14 13:00,ALDOT,,,
Bug - Internal Reported,System Error,ALDOT-1369,Messages need a <br> added at the end,Deliver to Client,Lee Jones,9/2/14 10:28,"Messages should have a <br> added to the end so that if there are multiple messages the next message starts on a new line. (messages are displayed to the user within a div, not a textbox for formatting reasons so html works in them).",9/4/14 13:22,ALDOT,,,
Bug - Internal Reported,System Error,ALDOT-1370,Registration>additional Contacts: frame sizing issue,Deliver to Client,Testing Team,9/2/14 10:44,"The scrollbar is covering up a row of content in the additional contacts window after adding one. 

screenshots attached with one and 2 entries in the table.",9/8/14 13:52,ALDOT,,,
Bug - Internal Reported,Look and Feel,ALDOT-1371,Disable home tab if not logged in,Deliver to Client,Testing Team,9/2/14 10:46,if a user is not logged in the home tab should either be disabled or redirect to the login page.,9/3/14 12:21,ALDOT,,,
Bug - Internal Reported,Functionality Incomplete,ALDOT-1372,Performance Report Page - Field Validations,Deliver to Client,Testing Team,9/3/14 11:43,"There are no field validations on the performance report page and this can potentially break the page and display an error to the user (i.e., invalid date).",9/8/14 7:56,ALDOT,,,
Bug - Internal Reported,System Error,ALDOT-1374,New Application>Signowner Info: Next button not working,Deliver to Client,Testing Team,9/9/14 10:52,When trying to move to the next step after Primary/Secondary Signowners the next button does not progress a user through the new application process.,10/13/14 11:09,ALDOT,,,
Bug - Internal Reported,Functionality Incomplete,ALDOT-1375,BIllboard Search Applicant User Control Incomplete,Deliver to Client,Testing Team,9/18/14 13:37,The user control used to search for applicants on Signowner pages is incomplete and not working. It uses bad logic on toggling between Business and Individual tabs and can't handle if there are multiple user controls in one page.,11/4/14 9:57,ALDOT,,,
Bug - Internal Reported,Look and Feel,ALDOT-1376,Manage Account Results Gridview - columns misaligned with headers,Deliver to Client,Testing Team,9/25/14 8:06,"columns do not align with the header in the result list for manage account 
UsersResults.aspx",10/13/14 12:42,ALDOT,,,
Bug - Internal Reported,Functionality Incomplete,ALDOT-1377,Make Billboard Dashboard have same default graph settings as Permitting,Deliver to Client,Testing Team,9/25/14 9:00,"Pie Chart, Large, 3D",10/13/14 11:15,ALDOT,,,
Bug - Internal Reported,Look and Feel,ALDOT-1379,annual renewal title block has black bars that shouldn't be there,Deliver to Client,Testing Team,9/25/14 9:21,black bars are in the how to do/ page title block on the annual renewal page.,10/16/14 10:44,ALDOT,,,
Bug - Internal Reported,Functionality Incomplete,ALDOT-1380,Unknown Fields,Deliver to Client,Testing Team,9/30/14 14:57,"Below are fields with unknown or ambiguous purposes / sources. 

Annual Renewal: Sign Number (per Caleb) (COUNTYNUMBER-ROUTE-MILEPOST-DIRECTION) 
- Direction can be RIGHT or LEFT (first CHAR only, so R or L) 

Transfer Ownership - Recipient Search New Sign Owner: Customer Number (THIS WILL BE REMOVED PER FINNY)",12/1/14 9:22,ALDOT,,,
Bug - Internal Reported,System Error,ALDOT-1382,New Application - Catastrophic Failure still creates Application,Deliver to Client,Testing Team,10/13/14 10:51,"If the application process fails catastrophically (say, a bad query during secondary sign owners), it still creates the application. The application should be discarded and the generic error page should be displayed.",10/23/14 10:16,ALDOT,,,
Bug - Internal Reported,Functionality Incomplete,ALDOT-1383,Film Shoot,Deliver to Client,Testing Team,10/15/14 15:28,Film Shoot needs to be removed from the Navigation Tree for all user log in's. This was mentioned at UAT 3 but Diane did not create a JIRA log for it. I had it written in my notes.,11/13/14 11:37,ALDOT,,,
Bug - Internal Reported,Functionality Incomplete,ALDOT-1385,Transfer Ownership page incomplete and does not handle multiple permits with multiple owners.,Deliver to Client,Testing Team,10/20/14 14:53,"Transfer ownership page is missing some basic functionality and the page needs completed. (i.e. Can not transfer, etc.) 

The page does not handle transferring multiple billboard permits to new owners and is supposed to. 
The page does not handle transferring billboard permits that have multiple owners (primary and secondary)",10/23/14 10:11,ALDOT,,,
Bug - Internal Reported,System Error,ALDOT-1386,Transfer Ownership gridview pager not initializing correctly,Deliver to Client,Testing Team,10/20/14 15:02,initializing to 5 but has more than 5 rows in the gridview.,10/23/14 10:01,ALDOT,,,
Bug - Internal Reported,System Error,ALDOT-1387,Transfer Ownership shows illegal billboard as selectable recipient,Deliver to Client,Testing Team,10/20/14 15:04,This should most likely not be populated into the gridview of available recipients.,10/23/14 10:00,ALDOT,,,
Bug - Internal Reported,System Error,ALDOT-1388,BBD - View Application - Required Documents Grid Disappears,Deliver to Client,Testing Team,10/21/14 9:16,"If you click any of the Add buttons on the view applications page, the Required Documents gridview will disappear until a refresh.",10/30/14 11:09,ALDOT,,,
Bug - Internal Reported,Functionality Incomplete,ALDOT-1389,Associate Documents - Browse Button doesn't always appear,Deliver to Client,Testing Team,10/21/14 9:19,When loading the associate documents page sometimes the Browse button does not appear right away and requires a refresh. We need to investigate resolving this issue.,12/17/14 9:25,ALDOT,,,
Bug - Internal Reported,System Error,ALDOT-1390,"Font needs to match permitting dashboard in chart type, size, style",Deliver to Client,Testing Team,10/21/14 11:04,Font should match the font on the permitting dashboard.,10/23/14 9:31,ALDOT,,,
Bug - Internal Reported,System Error,ALDOT-1391,View Application Fees/Fees Paid not displaying correctly after a payment,Deliver to Client,Testing Team,10/23/14 15:00,"After making a payment for a fee, instead of moving the paid fee data into the ""Fees Paid"" gridview, the data remains in the ""Fees"" gridview and Edit and Delete are grayed out.",10/30/14 11:09,ALDOT,,,
Bug - Internal Reported,System Error,ALDOT-1392,Billboard Dashboard bar graph rendering incorrectly,Deliver to Client,Testing Team,10/24/14 10:22,"When displaying billboard dashboard as bar graph the ""open billboard permits by type"" graph is vertical and should be displayed as a horizontal graph to match others(on the page and permitting dashboard). 
This should also prevent the text overlaying on the text of other columns, which it is currently doing.",10/30/14 11:04,ALDOT,,,
Bug - Internal Reported,System Error,ALDOT-1393,My Dashboard redirect to message.aspx on load sometimes,Deliver to Client,Testing Team,10/24/14 10:25,"This seems to be caused by a failure on page load to load something so it redirects to message.aspx. 
I have encountered this when logged in as Admin. 
Whatever is causing the redirect in the page load should be fixed and the redirect should be removed so that the correct error handler is used.",10/30/14 11:05,ALDOT,,,
Bug - Internal Reported,Look and Feel,ALDOT-1394,"Billboard ""New Application"" should be ""Create Application""",Deliver to Client,Testing Team,10/24/14 10:29,"Billboard ""New Application"" should be ""Create Application"" in Nav menu to match permitting.",10/30/14 11:22,ALDOT,,,
Bug - Internal Reported,System Error,ALDOT-1396,Billboard Associate Documents Browse,Deliver to Client,Testing Team,10/24/14 10:49,"Associated documents browse button & iframe seems to be in a similar state as the permitting associated documents was. 

The iframe needs to run calcHeight upon $(window).load... (after everything has been rendered). It is easiest to remove the inline function call and just use jquery. without this the button is not always displayed because the iframe is too short. 
The button needs the left side of it fixed too to show the border (set at -3px instead of -4px)",10/30/14 11:02,ALDOT,,,
Bug - Internal Reported,Look and Feel,ALDOT-1397,How to do heading changes,Deliver to Client,Testing Team,10/24/14 10:54,"In the how to do on the following pages the headings need changed (in both permitting and billboard where applicable): 

-Revoke/Deny Permit, reads ""Terminate Permit"" and should read ""Revoke/Deny Permit"" 
-Work Detail, reads ""View Work Details"" and should read ""Work Detail"" 
-Associate Documents, reads ""Associated Documents"" and should read ""Associate Documents"" 
",10/30/14 11:25,ALDOT,,,
Bug - Internal Reported,Look and Feel,ALDOT-1398,Unwanted black bar in how to do on Applicant Page,Deliver to Client,Testing Team,10/24/14 11:08,"There is an unwanted black bar in how to do on Applicant Page. I believe there was a similar issue with Annual Renewal that has already been fixed. 

see ALDOT 1379, 873, 507 for similar already fixed issues 
",10/30/14 11:27,ALDOT,,,
Bug - Internal Reported,System Error,ALDOT-1400,Search on Annual Renewal Failing,Deliver to Client,Testing Team,10/24/14 11:36,"In the Search fieldset on annual renewal the ""Search"" button is causing an error and going to the error notification page.",10/30/14 11:30,ALDOT,,,
Bug - Internal Reported,System Error,ALDOT-1401,Can a billboard application be changed to/from illegal?,Deliver to Client,Testing Team,10/24/14 12:00,"On the view application details page there is the field ""Illegal Billboard:"" in the application details fieldset. Is there any case where this should be able to be altered or is this only determined during creation of the application?",11/13/14 11:39,ALDOT,,,
Bug - Internal Reported,Functionality Incomplete,ALDOT-1403,View Structure text spacing issue,Deliver to Client,Testing Team,10/24/14 13:43,"Edge of pavement ""feet"" is spaced too far to the right and should match the ""feet"" text above in Distance.",10/30/14 11:22,ALDOT,,,
Bug - Internal Reported,Look and Feel,ALDOT-1404,"Billboard Search: ""Simple Search"" field",Deliver to Client,Testing Team,10/24/14 14:24,"This needs renamed to whatever value this is filtering. 
The text also needs to be written in all caps.",11/4/14 9:57,ALDOT,,,
Bug - Internal Reported,Look and Feel,ALDOT-1405,Billboard dashboard dates should be right aligned,Deliver to Client,Testing Team,10/24/14 14:28,The Start Date and End Date should be to the right of the Currently viewing and chart styling like it is in permitting.,10/30/14 11:22,ALDOT,,,
Bug - Internal Reported,System Error,ALDOT-1406,How to do is not displaying steps,Deliver to Client,Testing Team,10/24/14 14:57,"Go into Admin>Manage>How To Do, and I create some steps for a page. 
If you then go to the page you created steps for and click the ""?"" button to expand the how to do section. the steps do not display in the how to do section. I encountered this in the Dashboard page specifically(both billboard and permitting).",10/30/14 11:04,ALDOT,,,
Bug - Internal Reported,System Error,ALDOT-1407,"Admin How to do: Permitting Authrization ""Steps"" page inaccessible",Deliver to Client,Testing Team,10/27/14 11:19,The authorization steps page throws an error when in admin>manage>how to do>steps for permitting authorization page.,11/4/14 9:56,ALDOT,,,
Bug - Internal Reported,Functionality Incomplete,ALDOT-1409,Validation of Phone Number and Email address missing,Deliver to Client,Testing Team,10/28/14 18:25,"I was trying to add a new business. Entered the initial information about the Business and saved. Then it took me to the Applicant Information page. I entered just the first three digits in phone number field and typed a name in the email field without @.....Com and all that. But the data got accepted. Did we decide to take out such validations? If that is the case, it is fine. Otherwise, we might need to fix it. If this is truly a bug, we might need to look at that on other such fields as well.",10/30/14 11:19,ALDOT,,,
Bug - Internal Reported,Functionality Incomplete,ALDOT-1410,Create New Application > Request Pre-Application Meeting page. Meeting Date field is not functioning correctly.,Deliver to Client,Testing Team,10/28/14 18:32,"1. Started a new Application process 
2. Selected business 
3. Clicked next or ""Applicant Information"" without entering any information on that page 
4. Selected BM111A under Permit Information Page and clicked Next 
5. On ""request Pre-Application Meeting"" page, chose ""Yes, Proceed to Step 2"" in Step 1 and then gave meeting date and time. Clicked next which took me to Location page. 
6. From the Location page, I clicked on Back to get back to Request Pre-Application Meeting page 
7. Deleted the date that I had entered earlier and clicked next 
8. It took me back to Location page without giving any error about date missing even though it is a required field.",10/30/14 11:18,ALDOT,,,
Bug - Internal Reported,Functionality Incomplete,ALDOT-1412,Authorization Workflow not correct,Deliver to Client,Testing Team,10/28/14 18:53,"1. Created a new application 
2. Created a new user with all levels of permissions so that I can test the workflow in one pass - Username: aldotall; Password: 12345 
3. Logged in as ""aldotall"" 
4. Selected the application that was created earlier 
5. Went to Authorization page. 
6. Selected the option ""Require more information"" 
7. It took me to the page that asks for the date I received the information 
8. I entered the date and clicked Update. 
9. The next page that comes had Current Status as ""Division PC - Information Requested from District Manager"". It should have remained on the very first page until I select the option ""All documents received"". I had not even submitted the application on the Authorization process. 

This is totally wrong! I could not test anything else since this first step itself was wrong.",11/4/14 10:03,ALDOT,,,
Bug - Internal Reported,System Error,ALDOT-1417,"Add Business/Individual ""Add"" not loading ""Individual Details"" tab correctly.",Deliver to Client,Testing Team,10/30/14 13:33,"Add Business / Individual ""Add Business"" or ""Add Individual"" button is not loading the form for adding the new entity's information.",11/4/14 9:58,ALDOT,,,
Bug - Internal Reported,Functionality Incomplete,ALDOT-1418,Compatibility Mode Check,Deliver to Client,Testing Team,11/3/14 15:46,Add a javascript message or redirect when not in compatibility mode and on login page.,11/13/14 11:19,ALDOT,,,
Bug - Internal Reported,Look and Feel,ALDOT-1419,format signowner and transfer ownership phone numbers in gridviews,Deliver to Client,Testing Team,11/5/14 13:49,Modify query to outptut phone numbers in formated strings,11/13/14 11:39,ALDOT,,,
Bug - Internal Reported,System Error,ALDOT-1420,Annual Renewal Invoice rate should not be hard coded.,Deliver to Client,Testing Team,11/10/14 9:32,Currently the invoice rate is hardcoded as 10.00 per permit in an invoice. This should be modifiable.,11/18/14 10:16,ALDOT,,,
Bug - Internal Reported,Look and Feel,ALDOT-1421,Annual Renewal summary should update to display the new amount of paid/unpaid permits when a payment is made,Deliver to Client,Testing Team,11/10/14 9:35,This panel should be repopulated and display the updated number of paid/unpaid permits upon a payment.,11/18/14 10:11,ALDOT,,,
Bug - Internal Reported,Look and Feel,ALDOT-1422,Annual Renewal Cosmetic Fixes (low priority),Deliver to Client,Testing Team,11/10/14 9:43,"-Permits unpaid and permits paid sections should be hidden until they have contents. otherwise it is confusing and if you click the button on them you get an error. 

-Some of the information fields on this page should be bold to make them stand out as important, i.e. Annual Renewal Summary contents and Invoice Details contents. 

-The Invoice details window has too much white space. At the very least some of the bottom margin should be trimmed off.",11/18/14 10:08,ALDOT,,,
Bug - Internal Reported,Functionality Incomplete,ALDOT-1424,Annual Renewal penalty,Deliver to Client,Testing Team,11/10/14 9:50,"There should be an option to waive a penalty charge for an invoice. 

Original correspondence with finny: 
Should a penalty automatically be applied at a set rate if received after the deadline? [Finny] Yes. It would be ideal to give that option to ALDOT if possible so that they can decide. We can mark that option checked or however you want to do it if date is past the due date, but will allow ALDOT to uncheck it if they don’t want to apply the penalty. That might be better than boxing them in. But the straight answer to your question is, YES. There should be a penalty if it is due past the deadline.",11/21/14 13:51,ALDOT,,,
Bug - Internal Reported,Functionality Incomplete,ALDOT-1425,Classification Changes,Deliver to Client,Testing Team,11/10/14 12:44,"We need to add Classification changes to Application Details. Classification should be a label on Application Details with a link label next to it that says ""Change."" Clicking that will cause a pop-up where the user can select a Classification from the drop down list and a comments box. Both fields will be required. 

Clicking save on the popup will update the application's classification and store the comment in the comments for that application. 

We need a database table to contain all the classifications.",11/13/14 11:36,ALDOT,,,
Bug - Internal Reported,System Error,ALDOT-1426,Annual Renewal - Multiple Permit payments broken,Deliver to Client,Testing Team,11/10/14 13:47,When paying an invoice with multiple permits the function SavePaidPermit is being passed a string of permit numbers where the function expects an integer. The function needs reworked to handle multiple permits.,11/18/14 10:07,ALDOT,,,
Bug - Internal Reported,Functionality Incomplete,ALDOT-1427,"Annual Renewal, Gridview sorting not handled",Deliver to Client,Testing Team,11/11/14 8:51,need to add gridview sorting for gridview in middle of page.,11/18/14 10:07,ALDOT,,,
Bug - Internal Reported,System Error,ALDOT-1428,Annual Renewal Paid / Unpaid Invoice Collapse not working,Deliver to Client,Testing Team,11/11/14 15:50,Clicking collapse button throws error. Either fix the user control or find another solution based on time it will take to fix.,11/18/14 10:04,ALDOT,,,
Bug - Internal Reported,Look and Feel,ALDOT-1429,Annual Renewal Search Checkboxes clear on permit paid,Deliver to Client,Testing Team,11/12/14 14:53,checkboxes retain a checked status at indexes previously selected before last payment submission. These should be cleared upon submitting a payment.,11/21/14 13:50,ALDOT,,,
Bug - Internal Reported,Functionality Incomplete,ALDOT-1430,Annual Renewal Payment popup cancel button,Deliver to Client,Testing Team,11/12/14 14:54,the popup is missing a cancel button.,11/18/14 10:08,ALDOT,,,
Bug - Internal Reported,Look and Feel,ALDOT-1431,Paid/Unpaid payments should be hidden until they can have data,Deliver to Client,Testing Team,11/12/14 14:56,Paid / unpaid payment sections should be hidden until an invoice is loaded.,11/18/14 10:02,ALDOT,,,
Bug - Internal Reported,Functionality Incomplete,ALDOT-1432,Cosmetic Fixes,Deliver to Client,Testing Team,11/13/14 12:50,"Various - strictly cosmetic - issues. 

- Application Details under BBD needs to be renamed to Sign Details 
- Some of the layout is weird under Sign Details 
- The Change link for Application details needs some work",11/18/14 10:06,ALDOT,,,
Bug - Internal Reported,Functionality Incomplete,ALDOT-1433,Billboard Sign Direction,Deliver to Client,Testing Team,11/13/14 13:24,"Billboard Direction is not in the Create Application workflow. 

Billboard Direction drop down list is empty in the Location page. 

Billboard Direction is used to populate the Sign Number in Annual Renewal.",11/19/14 10:57,ALDOT,,,
Bug - Internal Reported,Functionality Incomplete,ALDOT-1434,Annual Renewal Page - Associate one Document in DM to multiple Permits,Deliver to Client,Testing Team,11/14/14 11:48,"When uploading an Annual Renewal payment document to the document management system, it is possible that it could be associated to multiple permits. We need to figure out how to create a one to many relationship in the document management system, so that we can make sure that the ONE document upload can be associated to many permits.",11/21/14 13:51,ALDOT,,,
Development Task,Functionality Incomplete,ALDOT-1435,Add ability to remove applications from My Dashboard/Dashboard,Deliver to Client,Caleb Goff,11/18/14 11:09,"We need to update the functionality for the Retired billboards. Once a billboard is marked as retired, we need to make sure it does not appear in the My Dashboard or Dashboard pages. We also need to update the verbiage on the feature and call it ""Remove"". 

Some DB updates will be required for this to work correctly.",12/1/14 9:23,ALDOT,,,
Bug - Internal Reported,Look and Feel,ALDOT-1436,Create Signowner pager should initialize to 10,Deliver to Client,Testing Team,11/20/14 9:01,The user control is initializing the pager value to 50 but displaying only 10 results per page.,11/21/14 13:56,ALDOT,,,
Bug - Internal Reported,System Error,ALDOT-1437,Annual Renewal: Permits not grouping in an invoice number,Deliver to Client,Testing Team,11/20/14 9:13,"Permits that have the same Renewal Year, Primary Signowner, and Region ID should be grouped in the same invoice number. 
At a glance it appears that the Singowner_ID in the BBD_APPLICATION table is not reflecting the primary signowner correctly I believe this needs to be a join with the BBD_SIGNOWNER table to get the UserID of the signowner (Signowner_ID is is the PK in BBD_Signowner and different one exists for each permit) 

See PKG_BBD_ANNUALRENEWAL.sql -> FN_BBD_GENERATE_INVOICE_NUMBER",11/21/14 13:53,ALDOT,,,
Bug - Internal Reported,System Error,ALDOT-1438,Structure: cant enter type of lighting for illumination,Deliver to Client,Testing Team,11/21/14 13:30,Field is disabled (cant enter anything or click in it) but is required for form submission if illumination is selected.,12/1/14 9:25,ALDOT,,,
Bug - Internal Reported,System Error,ALDOT-1441,Billboard Search non-admin user gives no results,Deliver to Client,Testing Team,11/24/14 12:17,"When logged in as a billboard user who is an employee using the ""Search,"" I am getting ""No Records Found"" as my result. 

it looks like the billboard session permitting keys need removed in the search button event in the user control>simplesearch.aspx.vb 

Logged in as: 
User: billboard 
Pass: billboard",11/24/14 14:09,ALDOT,,,
Bug - Internal Reported,System Error,ALDOT-1442,Sign Details: required documents dropdown list not populating for new sign types,Deliver to Client,Testing Team,11/26/14 10:26,"When you click on Sign Details Page > Required documents > Add the popup has a required field called ""Document"" which is populated based on the sign type from the bbd_ref_req_doc_template table. 

This table currently only has entries for the original 3 sign/permit types so it is empty for the new sign types (ex. grandfathered, Church Sign, Abandoned, etc.). This should have entries for permit types 4-10 to cover the new sign types. The original 3 types only have ""Signed Application"" as an option. Should this be the same case for the newer sign/permit types?",1/21/15 19:37,ALDOT,,,
Bug - Internal Reported,Look and Feel,ALDOT-1443,Annual Renewal,Deliver to Client,Testing Team,11/26/14 10:55,"Sign direction in the sign number should be ""L"" or ""R"" not ""Left"" or ""Right""",12/1/14 9:22,ALDOT,,,
Bug - Internal Reported,Functionality Incomplete,ALDOT-1444,BBD Inspections: unit of measure,Deliver to Client,Testing Team,12/1/14 9:21,Nearest sign should have the unit of measure (feet) be a dropdown list that references ADM_REF_UNIT_OF_MEASURE.,1/21/15 19:35,ALDOT,,,
Bug - Internal Reported,System Error,ALDOT-1445,Remove automated emails,Deliver to Client,Testing Team,12/8/14 15:24,"Make the below pages use mailto links that pre-populate the messages as the client does not have and SMTP server. 

-Help/Support 
-Forgot Password 
-Registration->Preferences",1/21/15 19:32,ALDOT,,,
Bug - Internal Reported,Functionality Incomplete,ALDOT-1446,Manage Individual and Manage Business search sorting gets reset while paging,Deliver to Client,Testing Team,12/17/14 8:11,"When cycling through the pages of search results in either Manage Business or Manage Individual, the sorting that the user as selected will get reset. This needs to remain consistent regardless of what page of the results you are on.",12/17/14 9:26,ALDOT,,,
Bug - Internal Reported,Functionality Incomplete,ALDOT-1447,Workflow - Some users have more permissions than they should,Deliver to Client,Testing Team,12/17/14 8:12,"Some users (District PC, for example) have permissions above and below their level when viewing the dashboards in the workflow. They should only have access to the specific dashboards related to their user type. The extra permissions need to be removed.",12/17/14 14:21,ALDOT,,,
Bug - Internal Reported,Functionality Incomplete,ALDOT-1448,My Dashboard - users need to see at their level AND below,Deliver to Client,Testing Team,12/17/14 8:13,"In the Permitting My Dashboard, a user should see all the permits at their user type and below. I.E., Central Office should see Division and District. Division should see District.",12/17/14 9:35,ALDOT,,,
Bug - Internal Reported,Functionality Incomplete,ALDOT-1449,Revoke Permit should be disabled unless the permit is approved,Deliver to Client,Testing Team,12/17/14 8:14,"On the Revoke/Deny Permit page, the Revoke option should be disabled unless the permit is approved.",12/17/14 9:19,ALDOT,,,
Bug - Internal Reported,Functionality Incomplete,ALDOT-1450,Workflow should refresh itself on an action,Deliver to Client,Testing Team,12/17/14 8:16,"When a user sits on the workflow and someone else updates it, it currently does not check if the permit's position in the workflow has changed when they make a change. Anytime the page is loaded, or an action is taken on the workflow page, it should check to make sure that the current position has not been updated in the database. If it has, it should notify the user and then refresh the page at the most current position.",12/18/14 9:58,ALDOT,,,
Bug - Internal Reported,Functionality Incomplete,ALDOT-1451,Read-only bug on redirect to View Application Details,Deliver to Client,Testing Team,12/17/14 8:17,"If a District Manager creates an application and goes to the Authorization page, he will be redirected back to the Application Details page, but it will be in read-only mode.",12/17/14 9:23,ALDOT,,,
Bug - Internal Reported,System Error,ALDOT-1455,"Create Permitting application, District should be a required field",Deliver to Client,Testing Team,12/17/14 11:56,"Sometimes this field auto-populates, however, in some cases it does not. The next button throws an error without a district selected and it should be a required field.",12/18/14 9:14,ALDOT,,,
Bug - Internal Reported,System Error,ALDOT-1456,Next button on Manage Business,Deliver to Client,Testing Team,1/19/15 14:43,"On the Manage Business page, when I clicked the arrow to go to the next page, I got a message, Object reference not set to an instance of an object.",1/21/15 19:34,ALDOT,,,
Bug - Internal Reported,Functionality Incomplete,ALDOT-1462,Structure page - DBNull to type String is not valid,Deliver to Client,Testing Team,1/20/15 13:18,"I got the following message when i hit the Save button on the Structure page, ""Conversion from type 'DBNull' to type 'String' is not valid",1/21/15 19:31,ALDOT,,,
Bug - Internal Reported,Functionality Incomplete,ALDOT-1465,Add additional Sign Owner,Deliver to Client,Testing Team,1/20/15 13:33,"In there Add Additional Sign Owner section of the Sign Owner page, there isn't an Add button.",1/21/15 19:36,ALDOT,,,
Bug - Internal Reported,System Error,ALDOT-1469,BBD View Location,Deliver to Client,Testing Team,1/21/15 12:24,"Getting ""Object reference not set to an instance of an object"" on View Location. 
This seems to be something in the LoadPageData function. My suspicion is that it has to do with the property owner address loading wrong based on the error log: 

ERROR - 2015-01-21 12:12:51 – Object reference not set to an instance of an object. 
System.NullReferenceException: Object reference not set to an instance of an object. 
at BILLBOARD_NONAuthorizaton_EntryScreens_ViewLocation.LoadPageData() in C:\inetpub\wwwroot\irims\Billboard\NONAuthorization\EntryScreens\ViewLocation.aspx.vb:line 462 
at BILLBOARD_NONAuthorizaton_EntryScreens_ViewLocation.Page_Load(Object sender, EventArgs e) in C:\inetpub\wwwroot\irims\Billboard\NONAuthorization\EntryScreens\ViewLocation.aspx.vb:line 105 
",1/21/15 15:33,ALDOT,,,
Bug - Internal Reported,System Error,ALDOT-1470,Notice of Intent Error,Deliver to Client,Testing Team,1/21/15 12:37,"A script probably did not get run related to this? 

Getting ""OracleCommand.CommandText is invalid"" upon saving a document number for NOI on Sign Details page.",1/21/15 15:34,ALDOT,,,
